000001,牛黄上清片,-2.016,203.7
000002,盐酸西替利嗪片,-2.016,408
000003,炎可宁片,-2.016,603
000004,消食健胃片,-2.016,782.7
000005,布洛芬缓释胶囊,-127.216,191.6
000006,参苏丸,-127.216,358
000007,喉痛灵片,-127.216,522.3
000008,浦地蓝消炎片,-127.216,705.2
000009,消炎止咳片,-127.216,884.4
000010,复肾宁胶囊,-278.379,197
000011,氨咖黄敏胶囊,-278.379,435
000012,复方小儿退热栓,-278.379,558
000013,阿司匹林泡腾片,-278.379,713.4
000014,双唑泰栓,-278.379,890.8
000015,法莫替丁片,-424.317,151.1
000016,氯雷他定片,-424.317,291.3
000017,醋酸曲安奈德乳膏,-424.317,458.1
000018,维生素E软胶囊,-424.317,612.17
000019,水杨酸软膏,-424.317,747
000020,阿昔洛韦乳膏,-424.317,902.6
000021,葡萄糖酸锌口服溶液,-550.007,158.3
000022,赖氨葡锌颗粒,-550.007,328.6
000023,小儿氨酚黄那敏颗粒,-550.007,526.5
000024,山楂麦曲颗粒,-550.007,710
000025,小儿七星茶颗粒,-550.007,903.22
