000001,牛黄上清片,-2.016,-215
000002,盐酸西替利嗪片,-2.016,-395
000003,炎可宁片,-2.016,-610
000004,消食健胃片,-2.016,-800
000005,布洛芬缓释胶囊,-127.216,-210
000006,参苏丸,-127.216,-365
000007,喉痛灵片,-127.216,-540
000008,浦地蓝消炎片,-127.216,-720
000009,消炎止咳片,-127.216,-895
000010,复肾宁胶囊,-278.379,-217
000011,氨咖黄敏胶囊,-278.379,-375
000012,复方小儿退热栓,-278.379,-542
000013,阿司匹林泡腾片,-278.379,-713
000014,双唑泰栓,-278.379,-912
000015,法莫替丁片,-424.317,-180
000016,氯雷他定片,-424.317,-330
000017,醋酸曲安奈德乳膏,-424.317,-458
000018,维生素E软胶囊,-424.317,-595
000019,水杨酸软膏,-424.317,-740
000020,阿昔洛韦乳膏,-424.317,-910
000021,葡萄糖酸锌口服溶液,-570.007,-180
000022,赖氨葡锌颗粒,-570.007,-355
000023,小儿氨酚黄那敏颗粒,-570.007,-540
000024,山楂麦曲颗粒,-570.007,-725
000025,小儿七星茶颗粒,-570.007,-935
